UID        PID  PPID  C STIME TTY          TIME CMD
jee       2176     1  0 17:31 ?        00:00:00 /usr/lib/gvfs//gvfs-fuse-daemon -f /home/jee/.gvfs
jee       2185     1  0 17:31 ?        00:00:00 /usr/lib/i386-linux-gnu/gconf/gconfd-2
jee       2192  2123  0 17:31 ?        00:00:01 /usr/lib/gnome-settings-daemon/gnome-settings-daemon
jee       2199  2123  0 17:31 ?        00:00:01 metacity
jee       2208  2192  0 17:31 ?        00:00:00 syndaemon -i 2.0 -K -R -t
jee       2213     1  0 17:31 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
jee       2214  2123  0 17:31 ?        00:00:01 unity-2d-panel
jee       2215  2123  0 17:31 ?        00:00:04 unity-2d-shell
jee       2221  2123  0 17:31 ?        00:00:00 /usr/lib/tracker/tracker-miner-fs
jee       2222  2123  0 17:31 ?        00:00:00 /usr/lib/tracker/tracker-store
jee       2224  2123  0 17:31 ?        00:00:00 bluetooth-applet
jee       2229  2123  0 17:31 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
jee       2230  2213  0 17:31 ?        00:00:00 /usr/lib/pulseaudio/pulse/gconf-helper
jee       2234     1  0 17:31 ?        00:00:02 /usr/lib/bamf/bamfdaemon
jee       2236  2123  0 17:31 ?        00:00:00 nm-applet
jee       2243  2123  0 17:31 ?        00:00:00 /usr/lib/gnome-settings-daemon/gnome-fallback-mount-helper
jee       2245  2123  0 17:31 ?        00:00:00 /usr/bin/python /usr/bin/hp-systray
jee       2246  2123  2 17:31 ?        00:00:09 nautilus -n
jee       2260     1  0 17:31 ?        00:00:00 /usr/lib/gvfs/gvfs-gdu-volume-monitor
root      2262     1  0 17:31 ?        00:00:00 /usr/lib/udisks/udisks-daemon
root      2265  2262  0 17:31 ?        00:00:00 udisks-daemon: not polling any devices
jee       2269     1  0 17:31 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
jee       2271     1  0 17:31 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
jee       2273     1  0 17:31 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
jee       2278  2245  0 17:31 ?        00:00:00 /usr/bin/python /usr/bin/hp-systray
jee       2279  2278  0 17:31 ?        00:00:00 /usr/bin/python /usr/bin/hp-systray
jee       2281     1  0 17:31 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.2 /org/gtk/gvfs/exec_spaw/0
jee       2286     1  0 17:31 ?        00:00:00 /usr/lib/dconf/dconf-service
jee       2294     1  0 17:31 ?        00:00:02 /usr/lib/unity/unity-panel-service
jee       2302     1  0 17:31 ?        00:00:00 /usr/lib/indicator-application/indicator-application-service
jee       2304     1  0 17:31 ?        00:00:00 /usr/lib/indicator-sound/indicator-sound-service
jee       2306     1  0 17:31 ?        00:00:00 /usr/lib/indicator-printers/indicator-printers-service
jee       2307     1  0 17:31 ?        00:00:00 /usr/lib/indicator-session/indicator-session-service
jee       2309     1  0 17:31 ?        00:00:00 /usr/lib/indicator-messages/indicator-messages-service
jee       2312     1  0 17:31 ?        00:00:00 /usr/lib/indicator-datetime/indicator-datetime-service
jee       2342     1  0 17:31 ?        00:00:00 /usr/lib/geoclue/geoclue-master
jee       2345     1  0 17:31 ?        00:00:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.2 /org/gtk/gvfs/exec_spaw/1
jee       2366     1  0 17:31 ?        00:00:00 /usr/lib/ubuntu-geoip/ubuntu-geoip-provider
jee       2375     1  0 17:31 ?        00:00:00 /usr/lib/gnome-online-accounts/goa-daemon
jee       2386     1  0 17:31 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
jee       2405     1  0 17:31 ?        00:00:01 /usr/lib/indicator-appmenu/hud-service
jee       2411     1  0 17:31 ?        00:00:00 /usr/lib/unity-lens-files/unity-files-daemon
jee       2412     1  0 17:31 ?        00:00:00 /usr/lib/unity-lens-music/unity-music-daemon
jee       2413     1  0 17:31 ?        00:00:00 /usr/lib/unity-lens-applications/unity-applications-daemon
jee       2414     1  0 17:31 ?        00:00:00 /usr/bin/python /usr/lib/unity-lens-video/unity-lens-video
jee       2449     1  0 17:31 ?        00:00:00 /usr/bin/zeitgeist-daemon
jee       2464     1  0 17:31 ?        00:00:00 /usr/lib/zeitgeist/zeitgeist-fts
jee       2466     1  0 17:31 ?        00:00:00 zeitgeist-datahub
jee       2471  2464  0 17:31 ?        00:00:00 /bin/cat
jee       2487     1  0 17:31 ?        00:00:00 /usr/lib/unity-lens-music/unity-musicstore-daemon
jee       2488     1  0 17:31 ?        00:00:00 /usr/bin/python /usr/lib/unity-scope-video-remote/unity-scope-video-remote
jee       2515  2123  0 17:31 ?        00:00:00 /usr/lib/gnome-disk-utility/gdu-notification-daemon
jee       2527  2123  0 17:31 ?        00:00:00 telepathy-indicator
jee       2533     1  0 17:31 ?        00:00:00 /usr/lib/telepathy/mission-control-5
jee       2543  2123  0 17:32 ?        00:00:00 gnome-screensaver
jee       2556  2123  0 17:32 ?        00:00:00 /usr/lib/evolution/3.2/evolution-alarm-notify
jee       2562     1  0 17:32 ?        00:00:00 /usr/lib/evolution/e-calendar-factory
jee       2569     1  0 17:32 ?        00:00:00 /usr/lib/evolution/e-addressbook-factory
jee       2581  2123  3 17:32 ?        00:00:14 psensor
jee       2601     1  0 17:32 ?        00:00:01 /usr/bin/python /usr/lib/ubuntuone-client/ubuntuone-syncdaemon
jee       2609     1  1 17:32 ?        00:00:06 gnome-terminal
jee       2621  2609  0 17:32 ?        00:00:00 gnome-pty-helper
jee       2622  2609  0 17:32 pts/0    00:00:00 bash
root      2638     2  0 17:32 ?        00:00:00 [kworker/0:0]
jee       2684     1  0 17:32 ?        00:00:00 /usr/lib/notify-osd/notify-osd
jee       2691  2123  0 17:32 ?        00:00:00 update-notifier
root      2702     1  0 17:32 ?        00:00:00 /usr/bin/python /usr/lib/system-service/system-service-d
jee       2722  2123  0 17:33 ?        00:00:00 /usr/lib/deja-dup/deja-dup/deja-dup-monitor
root      2764     2  0 17:37 ?        00:00:00 [kworker/0:2]
jee       2766     1  5 17:37 ?        00:00:06 /usr/lib/firefox/firefox
jee       2789     1  0 17:37 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
jee       2922  2622  0 17:39 pts/0    00:00:00 ps -ef
